Reporter_Organization,ASRS_Report_Number_Accession_Number,Reporter_Organization_1,ASRS_Report_Number_Accession_Number_1,Narrative,Narrative_1,Synopsis,Fuente
Air Carrier,1020307.0,,,No airspeed on Captain's side during takeoff. Aborted takeoff and went back to gate.,,A320 Captain lost his airspeed indicator on takeoff roll. Rejected takeoff executed and aircraft was returned to the gate.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1020502.0,,,"On departure, somewhere near FL250, we experienced the illumination of the WHEEL WELL Fire Warning light and the fire warning bell sounded. The initial indication lasted approximately four seconds, extinguished briefly, sounded [again] briefly, and then extinguished with no further indications. Though the pilots immediately reached for the QRH, the indications extinguished prior to the accomplishment of Step 1 in the Procedure section of the Wheel Well Fire Checklist. There was a disagreement as to whether the checklist items applied to this specific situation (was there any relief from the procedures), as a result of the indications extinguishing prior to the accomplishment of the first step in the procedural section of the checklist. After voicing his opinion, the First Officer asked the Captain to confirm his decisions with someone outside of the flight deck. Upon reaching the cruise altitude of FL340, the Captain called Company. After a bit of coordination and discussion via radio and ACARS, it was suggested that we land as soon as possible. We complied with no further complications. Note: The new Dispatch Release appears to have taken off the Operations frequencies associated with points along the route. This was a distraction.",,A B737-800 Flight Crew had some internal confusion on how to deal with an intermittent wheel well fire warning. They decided to divert as a precaution.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1020890.0,,,"We were on the arrival into our filed destination and had just finished deviating around a few thunderstorms. All of the sudden we got an ECAM that the autothrottles turned OFF and we got an ECAM that the autothrottles were in thrust lock. Then the Number 1 engine suddenly rolled back to idle thrust while the Number 2 engine remained at normal thrust. We declared an emergency letting ATC know we were experiencing and engine failure and we would get back to them. Within one minute later, we were able to regain normal control of the Number 1 engine, but not the autothrust. We rescinded the emergency with ATC and continued the flight to ZZZ1 without the autothrust. The rest of the flight was uneventful.",,"An A320's autothrottle transitioned to THRUST LOCK followed by the number one engine spooling back. The crew declared an emergency, but the engine returned to normal operation with no autothrottles.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021114.0,,,"While level at FL190, an Auto Thrust ECAM appeared, with associated and intermittent FMA warnings of Thrust Lock and move throttle. Subsequently, the number 1 engine retarded uncommandedly to idle. Unsure, of the exact problem, and not sure if we could hold altitude while we troubleshot the problem, we declared an emergency with Center and advised them to standby. As the pilot flying, I disconnected the autopilot, retarded both throttles to idle, and we assessed both engine indications. We ensured that the Auto Thrust system was disengaged and slowly advanced each engine throttle. No other abnormalities were encountered and both engines appeared to be operating normally. We felt the situation was safe so I rescinded the emergency declaration. During the event, there were no altitude or route deviations. Subsequently, we made a safe, hand flown approach under VMC conditions.",,"An A320 flight crew experienced failed autothrust capability and, after analysing their capabilities and the weather, continued utilizing continued to their destination using manual flight and thrust controls.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021135.0,,,"As we crossed the Florida panhandle shoreline I noticed many flashing warning lights advising the airplane had disconnected LNAV. On both MCDUs the FMC prompt was missing, and we were unable to interact with either FMC. Along with this the MCDU message 'FMC1 Failure' or something like that was displayed. Interestingly, 'FMC2 Failure' was never displayed, and the original course was visible on the First Officer's navigation display, but we had no way to interact with the course. Of course we ran the QRH checklist, but there is not much help for this situation.I notified ATC that we had lost our area navigation capability and needed a vector to pick up an airway. Much radio time and brain cycles were spent trying to collaboratively figure out with ATC if we were still legal to stay in RVSM airspace, and if we were, what was our slant suffix for the flight plan. These issues took valuable mind space while we were trying to fix more immediate concerns, such as what was wrong with the airplane and would something else fail shortly. We were cleared direct MCN but it seemed to be offline as neither of our VOR receivers could receive it. We continued on vectors and I tuned other VORs nearby, and they came in fine. Later on in the flight we were cleared direct to HNN but were once again unable to receive its signal. The next fix, JPU, a low class VOR on the arrival was coming in fine, and we were cleared direct. Yet another problem occurred, as the next VOR was, again, indicating no course although the DME function seemed to be operational. Our destination was VFR, and we performed an uneventful visual approach to Runway 28L although the ILS the glideslope was NOTAMed out of service. Fortunately we didn't have to do the 'dive-and-drive'.My concerns are multiple. First, the possibility of a dual FMC failure is supposed to be almost nil. What happened to cause BOTH FMCs to go out on us? If number 1 fails, number2 should be completely separate so as to have backup. There is, in actuality, zero redundancy if the failure of number 1 can propagate to number 2. My second concern is that if we happen to have this situation happen on a WATRS route, we are basically a blind airplane. The INS coordinates were still displayed on the overhead unit, but trying to navigate with that to any kind of accuracy standard would be impossible. Basically, we would have to declare an emergency if this happens in WATRS airspace, and I'd like some kind of language added to the WATRS training program to address the fact that if you lose both FMCs in WATRS airspace you are required to immediately declare an emergency. I don't honestly remember if that was covered already in our training syllabus, but if it wasn't, it should be. My third concern is that the reliability of the nation's VORs seems to have significantly degraded. To have three VORs unusable but not NOTAMed out of service (ATC acted like they were surprised that they all were non-functional) is pretty poor reliability, and if we're heading down the road to getting rid of the VOR system, we're going to need a more reliable backup. Dual FMC failures obviously do occur, no matter what the odds are against it happening. If this situation would have been coupled with a communications failure, now that airplane is truly on its own, without navigation or radar vectors.My final concern is that after we landed, I called maintenance and they deferred both FMCs, authorizing continued service! Now I understand that is perfectly legal according to our MEL. But it is nevertheless very stupid. Pilots who may not have flown airways in a decade are simply not safe to fly them without expecting some kind of accidental deviation. There you have it - this should not be allowed in my opinion. I did my best to find the next Captain who was taking the airplane on, and I finally did see him as we were arriving at the hotel and he was heading to the airport. I told him the situation, and that he hadno FMCs - he'd be doing old-school navigation. He laughed at this with bravado. I'd love to see the radar track of that flight, is all I'm saying.",,A B737-700 Captain discussed the problems he encountered upon losing both FMCs in RVSM airspace and subsequently finding several of the VORs by which they attempted to navigate an airways clearance were out of service although not NOTAMed to be so.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021267.0,Air Carrier,1021915.0,While descending and cleared for approach I called for flaps and discovered that the flaps were not coming out of the up position. The flap indicator stayed in the up position with the needles slightly (almost not noticeably) split. We discontinued the approach and were assigned runway heading with an altitude. I instructed the First Officer to declare an emergency and to tell ATC we need to work on the problem. They gave us vectors and told us to let them know when we would be ready to land. I asked for the longest runway. We isolated the problem via the QRH. The procedures for flap malfunctions are extensive and complicated. My First Officer was very thorough and meticulous with the checklist. We had the fuel and time to go through the list twice. I was convinced and confident that we did all we could do and it was now time to commence the approach. I landed ref 140+40 uneventfully and taxied to the gate. The training we get could not have come into play more. The procedures worked as we have trained for. Please pass on to Training to keep flight control problems in the syllabus. Navigating the QRH is a challenge under pressure.,[Narrative 2 had no additional information.],"B737-800 flight crew experienced flap failure on approach, and landed uneventfully after running the complex procedures.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021359.0,,,"Our revised PDC clearance was -JTEEE1 ALDAY SGF-as filed. When we searched the EFB, we chose exactly that. Runway 18C JTEEE1.ALDAY. The EFB also had a JTEEE1 RNAV page as well but that didn't match our PDC. When we loaded the departure in the FMC, it had 3 or 4 other waypoints listed which in retrospect were the fixes on the JTEEE1 RNAV SID. Since none of these were on the EFB SID, nor were they in the PDC, we deleted them. On the runway, Tower cleared us [direct] to what sounded like JTEEE. My IOE First Officer read back, 'confirm that was direct to JTEEE?' ATC replied, 'yes.' On climb out we engaged LNAV and headed for JTEEE. Departure said we were cleared to CHETO [one of the deleted waypoints], and I replied 'negative, we confirmed JTEEE.' No other traffic in the area except for a landing to 18L after us.These new departure SIDS need to be listed with transitions. There should be no guessing with a route change as to which one we should fly. It should be exact. Also, there should be a published document in all trip folders that show how each of these departures are pronounced. I heard JTEEE after confirmation with ATC, and ATC claims they said CHETO. All four of us on the jet--which included another 777 Check Airman as second Relief Pilot--heard the same thing. In the digital aero charts FIV [Flight Information Viewer], there is only one departure for the JTEEE1. Why are there 2 in the EFB then and how was I supposed to know which one was correct? We clearly thought--as we do now--that we were correct.",,B777-200 flight crew experienced a track heading deviation immediately after takeoff while on the JTEEE1 RNAV SID off Runway 18C at MEM.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021575.0,Air Carrier,1021604.0,"I was the pilot flying on the GEELA Arrival. We were previously cleared for descent via to 7R transition. At some point the runway was changed. We were sent to a new Controller and were asked if we had the new ATIS code. The pilot not flying said we had, even though we had not. This new ATIS included a runway change and the Controller then cleared us for the 25 arrival. Had we fessed up to not having the ATIS, the communication might have gone smoother. In any event, I noticed we now had the wrong transition in the box and had just a few miles to fix it. What made things more complex now was the fact that we were passing GEELA on the right ground track to 25, but now well below the next fix MNSTR, which is a 15,000-16,000 FT restriction. This became obvious when the jet wouldn't take VNAV due to us being below the restriction. We got on the radio quickly and got the restriction changed to MNSTR at 11,000 FT. No altitude deviation, but it took some luck and quick radios to fix it in time. The rest of the arrival was uneventful. We did not help matters by agreeing to an ATIS code we did not have. Perhaps the new clearance for us may have gone a bit smoother if the Controller had that info. I would like to focus on a larger point. That is, any time there is a new runway given, I would like to see the Controllers give us a heading and altitude to get us on our way first. This would allow us to make our FMC changes and not bust an altitude or go in a bad direction as we try to quickly get the box right. At this point both, pilots are heads down and pretty focused on the box and the points. Any typing error here due to rushing this process can be bad news. Instead, a clearance like 'you are now cleared to Runway 25 via 090 heading and 11 thousand. Advise when you are direct MNSTR and ready to resume the Runway 25R transition.' I am not locked into this phrase exactly, but I think a heading and altitude and some feedback from the pilots gives us time to make sure the box is right and will eliminate other radio calls due to typing or altitude errors. Had we not been able to get our request on the radio in time, we would have crossed MNSTR well below the charted altitude. This same scenario plays out multiple times a day on the LAX arrivals. Some Controllers do a great job and give you a heading to the localizer and an altitude. That is easy to do as you are flipping charts and trying to get the box right. Others ask you to get on the new transition to a new point which may be just a couple of miles on your nose. The last minute change is all on the pilot to get it right. I think that is a mistake. This type of change should first be given a simple clearance and then a descent via or any other complex clearance, once we have our act together. My hope here is ATC will see how dynamic these situations are, and come up with a standard way of handling them for the benefit of everybody.","While descending via the approach for 7R, ATC told us to descend via approach for 25L just prior to the branch point. We scrambled to update the FMC and realized we were already below the proper altitude for the 25L transition. We asked Approach what altitude they wanted us at. They assigned us a hard altitude of 10,000 FT. They left us hanging while we clarified assigned altitude. We felt that [ATC] should have clarified assigned altitude when changing runway and given us a heading to fly when changing runway just prior to branch point.",B737-700 flight crew reports being assigned a runway change from 7R to 25L approaching GEELA on the GEELA6 arrival to PHX. This results in quick changes to the FMC to stay on track but being below the MNSTR crossing restriction with no altitude assignment from ATC.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021583.0,,,"We were departing SNA on a VMC day. We thoroughly briefed the noise abatement takeoff procedures from SNA. All operations and procedures occurred normally through the completion of the Before Takeoff Checklist. The aircraft was configured correctly for the special procedures; flaps were at 10 degrees, N1's in manual and set at 75.8%. THR RED set at 3,000 FT AGL, flight directors ON, LNAV armed, autothrottles armed, with the departure SID (CHANL 1) loaded in the FMC with the takeoff Runway 19R. After being cleared for takeoff by the Tower, the Captain pushed the power up and let the N1's stabilize at 40%, then released the brakes and pressed the TO/GA button. The throttles successfully advanced to the MAX power setting, the flight mode annunciator (FMA) said TO/GA, and the command bars came up on the PFD/ND. At sometime during the takeoff roll, the command bars dropped out of view from the PFD/ND. I noticed during the takeoff rotation that we no longer had command bars, and the TO/GA mode had dropped out from the FMA. The white LNAV armed had also dropped out from the FMA. The Captain continued to fly using pre-briefed pitch attitude. As the pilot not flying, I re-engaged LNAV at 400 FT AGL, announced 'approaching cutback' at 600 FT AGL, and performed the throttle cutback noise abatement at 800 FT AGL. The Tower then told us to contact Departure at 1,000 FT MSL. However, with no vertical mode engaged (TO/GA had dropped out), the command bars would not come back up. At one mile, we turned left to heading 175 with the help of the map display and the LOC DME. I didn't want to re-engage a vertical mode by hitting the TOGA button. I was afraid this would override THR HOLD and cause the power to go to go-around setting and trigger a noise sensor on the departure corridor. I decided to select LVL CHG and verified the throttles remained in THR HOLD with the current cutback power setting. We also encountered minor wake turbulence at 2,000 FT with the power still at cutback setting. An Airbus A320 had taken off approximately two minutes prior to our departure. We successfully flew and navigated the remainder of the CHANL 1 Departure, including the cleanup and power-up procedures at 3,000 FT. After climbing through 10,000 FT and completion of the Climb Checklist, the Captain and I discussed the whole incident. We verified that we had all the buttons and switches in the correct positions and modes for the prescribed SNA close-in noise abatement procedure. We still cannot understand why the TO/GA and LNAV modes dropped out during the takeoff roll. Again the autothrottles successfully set MAX N1's. We flew the CHANL 1 Departure and the noise abatement procedure correctly. However, in an already high task saturation environment, the minor mode malfunctions increased our already high workload significantly. I do not know what we could have done differently. However the new procedures that require us to execute the cutback procedure even earlier during the climbout (800 FT AGL) are even more unsafe and create higher cockpit task saturation than the old cutback (1,000 FT AGL) procedure. We have to prioritize noise considerations with navigation/automation malfunctions. In the big picture, this whole close-in noise abatement procedure at SNA creates a potential safety hazard, and when a minor navigation/automation malfunction occurs, it multiplies the already high cockpit workload. In the interest of safety, we need to examine the necessity of this arcane procedure that exists purely for the benefit of questionable noise issues in the local Orange County area.",,"B737-700 First Officer reports auto flight anomalies during a noise abatement departure from SNA. The procedure is successfully flown manually but the crew does not understand what caused the flight director bars to retract from view, auto thrust to disengage, and LNAV to be no longer armed.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021589.0,Air Carrier,1021590.0,"Cabin Altitude Warning horn at FL390; cabin altitude climbed to 14,000 FT after initiating emergency descent. Step-down altitudes coordinated with Center and with communication being lost at 10,000 FT. Relay aircraft passed frequency and communication reestablished. QRH Checklist accomplished with little to no control of pressurization system. Cabin altitude began coming down on emergency descent passing FL280. Divert decision due to proximity to ZZZ and unknown/uncontrollable nature of problem/pressurization.","We had a Cabin Altitude Warning horn at FL390. We had been at cruise altitude for several minutes. There were no associated warning lights. Cabin altitude showed climbing above 10,000 FT. We donned our oxygen masks, accomplished the appropriate memory items, declared an emergency, and initiated an emergency descent. Cabin Altitude Warning Horn Checklist was unable to stabilize the cabin altitude or regain the system. Once we were level at 10,000 FT, continued troubleshooting, seemed to indicate a left engine bleed valve malfunction. We decided to divert to ZZZ, as it was the closest major airport and were still uncertain as to the entire nature of the problem. Flight attendants and passengers were notified and updated, time permitting, throughout the emergency. The Captain accomplished the approach and landing. Fire crews confirmed no damage to the aircraft.",B737-700 flight crew experiences a cabin altitude warning horn at FL390 followed by an emergency descent and diversion to a suitable airport.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021635.0,,,"Climbing out with autopilot engaged. We notice airplane was flying in a slight left bank. We analyzed the problem, fuel balanced, engine parameters all normal. Flight control page showed right aileron full down. Rudder trim indicated 1.5 to 3.5 right. Stopped climb at FL270 and slowed to 280 knots. Contacted Dispatch and Maintenance Control. We concluded the best course of action was to return. On descent we experienced a jolt as right aileron returned to normal deflection, followed by right aileron returning to full down deflection. Thinking flight controls were in deteriorating situation, we declared emergency and landed safely.",,A320 Captain reports noticing the aircraft is flying with the left wing slightly down during climb and the rudder trim is to the right. The ECAM flight control page indicates the right aileron is deflected full down. An emergency is declared and the flight returns safely to the departure airport. During descent a jolt is felt as the aileron returns to its' normal position and quickly returns to the fully deflected position.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021639.0,,,"New computer performance data system is either flawed or being misapplied by our flight operations group. For example: for today's takeoff from Munich Runway 26R, the old system (FMS provided) would have been V1, VR and V2 speeds of 151, 154 and 158 KTS. The sys provided speeds are 164, 166 and 169 KTS. Thus, with the old system, you continue the takeoff with speed once at or above 151 KTS but, with the new system, you continue the takeoff with speed at or above 164 KTS. Thus, B777 pilots may ABORT their takeoff at HIGHER speeds (164 KTS vs 151 KTS) with this new system; which is closer to the Vmbe [Maximum Brake Energy] speed as well as closer to the far end of the runway. However, sufficient runway remains to successfully abort. Conclusion - Our Carrier prefers to have the aircraft ON THE GROUND. Since all the Emergency Vehicles are on the GROUND, that makes sense. With the imprecisely defined wet runway data, the crew is directed to CONTINUE the takeoff when V1 is the equivalent of Vmcg [Minimum Control speed Ground]. This is reportedly due to controllability concerns with an engine loss. Conclusion - our Carrier prefers that an aircraft be AIRBORNE, committing to taking off at the LOWEST possible V1 speed IF there is a chance of a slippery runway. However, an ABORT would be highly desirable for any number of serious mechanical problems, even with an engine loss. Even an engine FIRE does not necessarily mean a loss of thrust on the engine. In any emergency near Vmcg, reducing the thrust to idle eliminates directional control concerns anyway if they were to exist at all. That is why the Captain's hand is ON the THROTTLES until committed to taking off. Under normal conditions, the new system produces a HIGHER V1 speed while the ill-defined wet runway rule produces a LESS SAFE operation with a MINIMUM V1 speed. The risk exposure is indefensible. The wet runway procedure eliminates, actually prohibits, an ABORT at the speeds just above Vmcg. Instead, an extended takeoff roll is required unnecessarily, with or without asymmetric thrust concerns. A takeoff can be in doubt for many reasons besides an engine loss. Continuing the takeoff requires any number of additional procedures related to the malfunction, as well as dumping fuel, navigating, conducting an approach in a degraded condition. The training center's analysis, defending their position, stated that it gave the pilot 'more time to practice' a long takeoff run with asymmetric thrust. Continuing the takeoff [for steering practice] is the equivalent of choosing the furthest exit in a burning building to get practice dodging falling debris. That does not justify this solution for a once in a lifetime emergency. The FAA's own Takeoff Safety pamphlet states a widebody crew could expect one of these events every 30 years. Our own airline has a much better batting average. The fact that the new program can assign a wide range of speeds for V1, from Vmcg to Vmbe, means that our own organization has set this illogical policy. If you cannot trust a crew to abort a takeoff just above Vmcg, why would you have confidence in them completing a series of far more difficult procedures and checklists which result in greater safety risks, greater fuel costs, and greater demands on maintenance? Changing the slippery runway low V1 speed policy should be closely examined by pilots other than the pilots who made that determination.",,A B777 Captain believes his airline is improperly utilizing aircraft takeoff performance data particularly with respect to takeoffs from a slippery runway.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1021845.0,,,"At approximately the 5+00 hour point in cruise at FL390, a Flight Attendant advised several passengers and a Flight Attendant could smell an odor near row 14 left. They said it smelled 'electrical'. We sent an 'on break' First Officer to that location who reported he could not smell or detect any odor. To our knowledge no one else could now smell the odor. No abnormality was witnessed or detected in the cabin. Passenger in that area had been noticed using lap tops and Bose headset equipment. No further odor was reported for the remainder of the flight.About 6+30 hours into the flight I went to the cabin myself during a break. I walked past row 14 twice plus saw and talked to numerous flight attendants. No odors were present and everyone seemed very content. Approximately 30 minutes later, while well into our descent, we were contacted again and told flight attendants were experiencing headaches and nausea but no odors were present in the cabin. I believe we were told they had been working the left side of the aisle in coach. We selected high flow for better ventilation. Shortly after that, one of the three flight attendants was feeling worse and felt the need to sit down and asked for oxygen. We again asked about odors but none were reported from any location in the cabin. We asked if the distressed flight attendant wanted to be met by paramedics. We were told she said yes and we made the request. We were told she was sitting up, conversing, and appeared normal but perhaps a little pale. Remote medical assistance was not contacted directly as only 30-45 minutes of flight remained. An emergency was not declared. We were allowed to keep speed up and ATC got us right in and paramedics were in position awaiting us. After gate arrival I got no updates regarding the three distressed flight attendants. Thinking someone would come up front or call; I became involved with maintenance, paper work and completed the cabin fume, odor, and smoke form for Maintenance. By the time my IOE Captain and I were able to move aft everyone had already left the aircraft.",,Faint odors detected by passengers and flight attendants aboard an A330 may have caused nausea and headaches for three flight attendants as the flight approached its destination.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1022311.0,,,"On descent, received ACARS message from Dispatch stating VIP movement at airport and there may be a 10-minute delay. After checking weather, no delays were noted; weather was clear. After contacting Approach was advised to hold at KADDY Intersection, expect 25 minute in holding. I sent ACARS message to Dispatch notifying of hold. We had 35 minutes of hold fuel in release. I also notified Dispatch that I would burn down to arrive [with] 4,000 LBS fuel and if not released to [destination] by then would declare minimum fuel.After reaching our EFC, asked Approach how much longer. They stated at least 25 minutes. My First Officer and I discussed this and decided to declare minimum fuel. Approach stated 'sorry we can't help you', and that we should proceed to our alternate. I again sent a message to Dispatch asked about alternate airports. Dispatch stated that [a nearby airport] was approved for 757/767 only and that we may have to declare an emergency to get to [destination]. After several minutes my First Officer and I decided to declare emergency and proceed to [destination]. We notified Approach, [and] were given direct airport. Landed [and] taxied to gate. No further problems. VIP movement was supposed to be completed by an hour before, but this did not occur. Dispatch had hold fuel for delay; however additional holding was not expected. Approach did not honor minimum fuel request for priority handling. This forced us to declare an emergency.",,"A320 Captain reported minimum fuel to Approach while holding for VIP movement on destination airport. When that did not produce the desired result, he declared an emergency and landed at destination.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1022329.0,,,"Flight from SAN; cleared via PEBLE Three Departure, SXC, C1177. The climb out was normal. Autopilot ON and aircraft in NAV and proceeded on course to SXC from PEBLE. We passed SXC and noticed that the FMS made it a 'FLY BY WAYPOINT' because of the large turn it had to make to continue on C1177. This is a normal function of the Airbus FMS. We were about FL250 or higher and at normal climb speed of about 310 KIAS. ATC calls and tells us that we had flown into the warning area W-291 by about 2 or so miles. He also said that he has noticed this happening with Airbus type aircraft. We responded that the FMS does this 'FLY BY WAYPOINT' and that we have no idea that it is encroaching into the warning area. I relayed to him that I would let the company know about this problem and that we should make it an 'OVERFLY WAYPOINT'. He said he would follow up and let our company know about the problem. Why this event occurred in my opinion is that the FMS tries to make a smooth turn in transition to course changes. This probably is the way that the FMS is programmed from Airbus and Honeywell. We need to make a change to either the FMS or make SXC an 'OVERFLY WAYPOINT'. Maybe the chart maker should be notified also.",,"A330 Captain, departing on the PEBLE3 from SAN, is informed that the large radius turn initiated approaching SXC to intercept C1177 outbound has resulted in an incursion into W-291.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1023155.0,Air Carrier,1023140.0,"Coming in for a visual approach and landing at Tucson to end our duty day. It was night, VFR. Our clearance was to proceed direct to CALLS and descend to 6,000 FT. As we descended, we got and maintained visual contact with Runway 11L. I checked the minimum altitude for CALLS, which was 5,000 FT and confirmed that altitude with the First Officer. While I knew the high terrain was just to the west of centerline, I did not verify the altitude of the terrain, which was 4,600 FT. As we approached the terrain, I continued to crosscheck the terrain display on my instruments. The First Officer backed it up as well.Soon after we passed through 6,000, we got a 'Caution Terrain' warning. As I was reaching to take control of the aircraft, the caution changed to a GPWS 'Pull Up Terrain' command. The First Officer stated we have to perform a terrain avoidance maneuver as I was switching off the automation. I added power and was approaching a 20 degree deck angle when we passed through 5,700 FT and the Terrain Warning terminated. I leveled the plane, captured ILS glide path prior to CALLS, and completed the approach and landing. At no time did we lose sight of the runway.I should have taken the time to review the elevation of that terrain before the approach. Definitely don't descend below 6,000 FT until past that hill.","On a visual approach to 11L in TUS, we received a 'Caution Terrain' followed by 'Pull Up Terrain' Warning at 5,500 FT MSL approximately 17 NM from the airport while following another aircraft.Next time approaching 11L from the northwest, I will tune the ILS at a point outside of CALLS to provide terrain clearance around CALLS.","On a night visual approach to Runway 11L at TUS the flight crew of a B737-700 received Caution Terrain and 'Pull Up Terrain' EGPWS warnings roughly 17 NM from the airport. They complied with the terrain avoidance maneuver, tuned the ILS and intercepted the GS from below, then continued to landing.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1024033.0,,,"Low speed abort. Forward cargo door EICAS message. Concurrent with selection of TOGA and engine run up to TO2 power, EICAS message 'FWD Cargo Door' appeared. Takeoff was aborted at a speed less than 50 KTS. Cleared runway, and taxied back to the ramp. Subsequent inspection of cargo door revealed no obvious discrepancies. During this ground interrupt the left engine was found to have lost the tail cone. A search found the tail cone in the area just off the approach end of Runway XX. There were no indications in the cockpit of an engine problem.",,"As takeoff thrust was set a B777's forward cargo door light illuminated, so the takeoff was rejected. At the gate, no cargo door defect was found but the left engine tail cone was discovered missing.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1024037.0,,,"Enroute, we noticed 'A' system hydraulic quantity trending lower. We initially attributed it to a non-emergency issue we had during gear retraction when the nose gear failed to remain locked up in the retracted position. The QRH procedure remedied that situation, but required continuous pressure on the landing gear up system. Just prior to descent, we began to feel certain that the unusually low quantity was due to a leak instead of increased system demands as the volume continued to decrease. We assessed that we would be able to approach and land at our filed destination without using emergency procedures if our routing and sequencing was close to normal. During the descent, we were instructed to proceed to holding. We both quickly agreed that was not a safe option and stated to Approach we would be unable. They asked what our divert was and we stated it and were issued a clearance there, but we also quickly assessed that was also an unsafe alternative and stated we were unable to accept the clearance. The Captain requested priority handling for our destination and then declared the emergency when ATC denied the request. System 'A' fluid level was roughly 20-25% below a low normal and continuing to drop. I was timing the loss rate and had noticed an increase in the loss rate over time. We then flew direct to the approach and landed without incident using normal systems. Airfield Rescue and Fire Fighters (ARFF) at the end of the runway noted no apparent leaks. Our fluid levels had risen from 51% to 68% - still way below normal and we elected to taxi to the ramp with the ARFF Commander trailing us. At the gate, closer examination revealed hydraulic fluid escaping from and pooling in the main wheel wells and a significant leak in the 'A' system.",,"A B737-800 crew left the 'A' Hydraulic System pressurized to keep the nose gear in the uplocks during flight, but developed a hydraulic leak which required that an emergency be declared for landing.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,1024227.0,,,"We were switched from the OLM Seven to an RNAV arrival right at top of descent, off of a RADAR vector for spacing. We were able to program the last minute change and brief the approach, but time and workload were at a premium at that point, and getting the aircraft back into path was a struggle, we were high and fast. This put us into a full speed brake situation with speed intervention in order to meet the next speed restriction. Next, ATC issued a slow down during this maneuver (250 KTS) which boxed us in even more. Around 10,000, ATC issued a runway change from 34L to 34C. The Captain re-programmed the approach and set me up for 34C, but during this, the FMC caused a reversion to CWS and CWP and I lost any kind of LNAV/VNAV info for a brief period. Automation was soon restored and we continued uneventfully, probably because ATC reverted us to a vector clearance. This practice of issuing speed restrictions and not giving us lower soon enough really messed up our automation and caused too much distraction in my opinion. This could have easily led to a deviation. If we are going to fly RNAV arrivals, we need to be able to fly them as published when they are built to such close tolerance as these new SEA arrivals. We completely negated any kind of fuel savings with all of the speed and altitude changes (lack there of) during the procedure. I think declining these arrivals is the best procedure until everyone is on the same page.",,Air Carrier inbound to SEA voiced concern regarding the issuance of speed restrictions on RNAV arrival procedures when ATC fails to issue lower altitudes compatible with FMS capabilities.,ASRS_DBOnline_2010_2014.xlsx
