operatorcontrolnumber,difficultydate,submissiondate,operatordesignator,submitterdesignator,submittertypecode,receivingregioncode,receivingdistrictoffice,sdrtype,jasccode,natureofconditiona,natureofconditionb,natureofconditionc,precautionaryprocedurea,precautionaryprocedureb,precautionaryprocedurec,precautionaryprocedured,stageofoperationcode,howdiscoveredcode,registrynnumber,aircraftmake,aircraftmodel,aircraftserialnumber,aircrafttotaltime,aircrafttotalcycles,enginemake,enginemodel,engineserialnumber,enginetotaltime,enginetotalcycles,propellermake,propellermodel,propellerserialnumber,propellertotaltime,propellertotalcycles,partmake,partname,partnumber,partserialnumber,partcondition,partlocation,parttotaltime,parttotalcycles,parttimesince,partsincecode,componentmake,componentmodel,componentname,componentpartnumber,componentserialnumber,componentlocation,componenttotaltime,componenttotalcycles,componenttimesince,componentsincecode,fuselagestationfrom,fuselagestationto,stringerfrom,stringerfromside,stringerto,stringertoside,wingstationfrom,wingstationfromside,wingstationto,wingstationtoside,buttlinefrom,buttlinefromside,buttlineto,buttlinetoside,waterlinefrom,waterlineto,cracklength,numberofcracks,corrosionlevel,structuralother,discrepancy
C2XA10TY043,3/28/2010 0:00:00,3/29/2010 0:39:15,C2XA,C2XA,A,SW,27.0,A,3350.0,L,,,K,,,,IN,C,13908,EMB,EMB145LR,145465,16693.0,13048.0,,,,,,,,,,,GRIMES,BATTERY,20131A,91392,DISCHARGED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYS A/C IS IN A C-CHECK STATUS WHEN INSPECTION FOUND THE EMERGENCY LIGHTS IN THE AFT CABIN NOT WORKING. MAINTENANCE CHANGED THE EMERGENCY LIGHT BATTERY IAW EMB 14 AMM 35-50-04 AND SWPM 20-50-00. OPS CHECK GOOD AND WILL BE RELEASED AT THE END OF THE CHECK.
C2XA11IA064,3/31/2011 0:00:00,2011-01-04 10:32:13,C2XA,C2XA,A,SW,27.0,A,2910.0,K,,,A,,,,CR,O,16961,EMB,EMB145LR,145103,29757.0,22191.0,,,,,,,,,,,EMB,HYDRAULIC LINE,14570266401,,LEAKING,HYDRAULIC SYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IAH - FLIGHT 2042, THE CREW REPORTED THAT THE NUMBER ONE ENGINE DRIVEN HYD PUMP HAD FAILED, AND THAT THE SYSTEM 1 FLUID WAS LOW. THE AIRCRAFT RETURNED TO IAH WHERE IT LANDED WITHOUT INCIDENT. MAINTENANCE REMOVED AND REPLACED THE UNLOCK ACTUATOR HYDRAULIC LINE ON THE LEFT MAIN LANDING GEAR, REMOVED AND REPLACED THE NUMBER ONE HYDRAULIC PUMP AS A PRECAUTION, SERVICED HYDRAULICS, OPERATIONALLY TESTED WITH NO DEFECTS, AND THE AIRCRAFT WAS APPROVED FOR RETURN TO SERVICE."
ASOA201000927,6/20/2010 0:00:00,6/24/2010 14:44:42,ASOA,ASOA,A,SO,27.0,A,5240.0,L,,,K,,,,IN,C,932EV,CNDAIR,CL6002B19,8016,12640.0,10992.0,,,,,,,,,,,,HANDLE,,,WORN,SERVICE DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICE DOOR DIFFICULT TO OPEN. R & R OUTER HANDLE IAW AMM 52-41-03 OPS CK GOOD.
ASOA201001138,8/16/2010 0:00:00,8/20/2010 13:14:11,ASOA,ASOA,A,SO,27.0,A,1100.0,O,,,K,,,,IN,V,724EV,CNDAIR,CL6002C10,10138,16643.0,11613.0,,,,,,,,,,,,PLACARD,,,PEELING,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAX DOOR EXIT PLACARD PEELING. R & R PAX DOOR EXIT PLACARD IAW AMM 11-30-02. R & R PAX DOOR EXIT PLACARD IAW AMM 11-30-02.
MASA2010083000938,8/28/2010 0:00:00,8/30/2010 15:58:04,MASA,MASA,A,SW,7.0,A,1100.0,O,,,K,,,,IN,V,942LR,CNDAIR,CL6002D24,15042,13136.0,10637.0,,,,,,,,,,,,PLACARD,,,TORN,PAX DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAX DOOR OPEN PLACARD TORN. MX REPLACED PLACARD.
AALA20100322TUL10,3/22/2010 0:00:00,2010-01-09 10:54:08,AALA,AALA,A,SW,21.0,A,5320.0,O,,,K,,,,IN,V,7536A,DOUG,DC982,49990,56691.0,29155.0,,,,,,,,,,,,CUSP WEB,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,218,237,18.0,R,,R,,,,,,,,,,,,,2.0,,CUSP SHEET RIGHT SIDE FROM STATIONS 218 TO 237 HAS CORROSION AND IS CRACKED AT CENTER LIGHTENING HOLE. REMOVED AND REPLACED CUSP SHEET PER AARD 53-20-00-16.
DALA106629862,3/29/2010 0:00:00,3/30/2010 10:47:40,DALA,DALA,A,SO,27.0,A,5321.0,O,,,K,,,,IN,9,771NC,DOUG,DC951,47769,73148.0,70865.0,PWA,JT8D17,,,,,,,,,,FLOOR PANEL,,,CORRODED,CARGO BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"DURING L-CHECK FOUND CORROSION ON FWD CARGO CTR FLOOR PANEL RIBS NR 1 THRU NR 6. REPAIRED IAW SRM 51-10-4, 51-60-0, 51-30-5, 51-30-1 & DWG 9B53-35812."
MASA2010092801049,9/27/2010 0:00:00,9/28/2010 15:36:00,MASA,MASA,A,SW,7.0,A,2560.0,L,,,K,,,,IN,C,925FJ,CNDAIR,CL6002D24,15025,16287.0,12802.0,,,,,,,,,,,,BATTERY,P4010021,,DISCHARGED,FLASHLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FWD F/A FLASHLIGHT NOT BLINKING. MX REMOVED AND REPLACED BATTERY, OPS GOOD."
DALA1022909869,9/15/2010 0:00:00,9/16/2010 10:00:10,DALA,DALA,A,SO,27.0,A,5311.0,O,,,K,,,,IN,V,778NC,DOUG,DC951,48100,70610.0,65838.0,PWA,JT8D17,,,,,,,,,,FRAME SPLICE,,,CRACKED,BS 1243 S9L,,,,,,,,,,,,,,,1243,,9.0,L,,,,,,,,,,,,,,,,,"DURING M-CHECK, FOUND CRACK IN AFT ACCESSORY COMPARTMENT LT SIDE FRAME SPLICE AT BS 1243 STRINGER 9. REPAIRED IAW SRM 51-10-2, SRM 51-10-4, SRM 51-30-5."
DALA1023249868,9/19/2010 0:00:00,9/20/2010 12:44:00,DALA,DALA,A,SO,27.0,A,5321.0,O,,,K,,,,IN,V,777NC,DOUG,DC951,47787,72525.0,68206.0,,,,,,,,,,,,FLOOR PANEL,,,CORRODED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,DURING M-CHECK FOUND CORROSION ON UPPER AND LOWER SURFACE OF FLOOR PANEL NR 19. REPAIRED IAW ERA 485701-14.
AALA20100628TUL07,6/28/2010 0:00:00,2010-06-10 11:26:09,AALA,AALA,A,SW,21.0,A,5330.0,O,,,K,,,,IN,V,7506,DOUG,DC982,49800,60018.0,30988.0,,,,,,,,,,,,SKIN,,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,1474,,22.0,L,,,,,,,,,,,,,,1.0,,,FUSELAGE SKIN CRACKED AT 1474 CANT FRAME APPROXIMATELY LONGERON 22 LEFT. INSTALLED EXTERNAL DOUBLER ON SKIN AT 1474 CANT FRAME AND LONGERON 22 LEFT PER SRM 53-01-00 FIGURE 2.
HNAA2010090600209,2010-09-09 00:00:00,9/23/2010 6:58:35,HNAA,HNAA,A,EA,7.0,A,5414.0,O,,,K,,,,IN,V,975HA,DHAV,DHC8102,176,53465.0,59147.0,,,,,,,,,,,,SKIN,,,LOOSE,NACELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVERAL RIVETS IN NACELLE SIDE SKINS FROM STA. XN 134-XN138 AT LONGERON ATTACH POINT ARE LOOSE. REMOVED LOOSE RIVETS. REPAIRED IAW EO8-54-10-0406.
SIMA201029301,10/18/2010 0:00:00,10/20/2010 9:25:20,SIMA,SIMA,A,SW,21.0,A,5610.0,O,,,A,,,,CR,V,500AE,CNDAIR,CL6002C10,10025,20770.0,15357.0,,,,,,,,,,,PPG,WINDSHIELD,NP13932111,00293H1460,CRACKED,COCKPIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON FLIGHT 3767 DURING CRUISE AT FLIGHT LEVEL 390 THE CREW REPORTED THE CAPTAIN’S WINDSHIELD CRACKED. THE CAPTAIN ELECTED TO DIVERT TO DENVER. THE AIRCRAFT LANDED WITHOUT IINCIDENT. THE AIRCRAFT WAS REMOVED FROM SERVICE. REMOVED AND REPLACED THE CAPTAIN’S WINDSHIELD IAW CRJ-700 AMM 56-11-01. THE LEAK CHECK WAS GOOD. THE WINDSHIELD HEAT OPERATIONAL CHECK WAS GOOD. NO OTHER DEFECTS NOTED. THE AIRCRAFT WAS RETURNED TO SERVICE.
DALA1025629868,2010-05-10 00:00:00,2010-06-10 07:54:50,DALA,DALA,A,SO,27.0,A,5315.0,O,,,K,,,,IN,V,777NC,DOUG,DC951,47787,72525.0,68206.0,,,,,,,,,,,,FLOORBEAM,,,CORRODED,BS 160,,,,,,,,,,,,,,,160,,,,,,,,,,1.0,L,6,L,,,,,2.0,,DURING M-CHECK FOUND CORROSION ON MAIN CABIN FLOOR SUPPORT AT BS 160 LBL 1 TO LBL 6. REPAIRED IAW SRM 51-30-05.
MALA110128,5/16/2011 0:00:00,5/23/2011 9:53:42,MALA,MALA,A,GL,15.0,A,5315.0,O,,,K,,,,IN,9,906XJ,CNDAIR,CL6002D24,15138,9168.0,6063.0,,,,,,,,,,,,FLOORBEAM,,,CORRODED,BS 280,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,"900-53-140-509, LT SIDE FS 280 CORRODED IN VARIOUS SPOTS ON THE TOP AFT EDGE. REPLACED LEFT FS 280 CROSSBEAM IAW REO 690-53-11-032 AND SRM 51-42-21 AND SRM 51-42-22."
N6WA20110511,5/16/2011 0:00:00,5/19/2011 12:40:45,N6WA,N6WA,A,CE,3.0,A,5210.0,O,,,K,,,,IN,9,161GJ,CNDAIR,CL6002C10,10253,14700.0,10175.0,,,,,,,,,,,,MOTOR,,,INOPERATIVE,DOOR ASSIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSENGER DOOR ASSIST INOP. DEFERRED PASSENGER DOOR ASSIST MOTOR ON DMI 16149 MEL 52-11-01, CAT C, AUTH BY MX CONTROL. DMI 16149 CLOSED ON 5-18-11 BY REMOVAL AND REPLACMENT OF THE DOOR POWER ASSIST MOTOR IAW AMM 52-11-08."
N6WA20110411,4/16/2011 0:00:00,4/18/2011 15:19:50,N6WA,N6WA,A,CE,3.0,A,5210.0,O,,,K,,,,IN,B,154GJ,CNDAIR,CL6002C10,10224,15310.0,10721.0,,,,,,,,,,,,MOTOR,,,FAULTY,DOOR ASSIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAIN CABIN DOOR POWER ASSIST INOP. DEFFERED POWER ASSIST ON DMI 18411 IAW MEL 52-11-01 CAT C ,AUTHORIZED BY RICH MANN. DMI CLEARED ON 4-17-11, R & R PAX DOOR POWER ASSIST MOTOR IAW AMM 52-11-08."
V0XR413Y030511011,2011-05-03 00:00:00,2011-05-03 09:24:03,N6WA,V0XR,B,NM,5.0,G,5320.0,O,,,K,,,,IN,V,164GJ,CNDAIR,CL6002C10,10256,14132.0,9773.0,,,,,,,,,,,,ANGLE,,,CORRODED,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SERVICE DOOR ANGLE, MIDCAP AND ANGLE CLIP HAVE EXFOLIATION CORROSION THROUGH OUT EACH. R & R DOOR ANGLE, MIDCAP AND ANGLE CLIP IAW SRM 51-42-06 AND SRM 51-42-21."
C2XA10CL169,11/13/2010 0:00:00,11/15/2010 10:55:23,C2XA,C2XA,A,SW,27.0,A,3425.0,O,,,A,,,,DE,O,17984,EMB,EMB145LR,145246,25623.0,19140.0,,,,,,,,,,,HONEYWELL,COMPUTER,7510100631,99103953,FAULTY,COCKPIT,22969.0,17200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EWR FLT 2940 THE CREW REPORTED GLIDESLOPE ISSUES GOING INTO DTW. REPORTED A 1/2 DOT DIFFERENCE BETWEEN GLIDESLOPE INDICATIONS DURING CAT II GS COMPARATIVE. THE AIRCRAFT DIVERTED INTO CLE AND LANDED WITHOUT INCIDENT. MAINTENANCE INSPECTED AND REPLACED THE NR 1 NAV UNIT AND OPERATIONAL CHECKS WERE GOOD.
MASA2010111601291,11/15/2010 0:00:00,11/16/2010 13:57:59,MASA,MASA,A,SW,7.0,A,2560.0,L,,,K,,,,IN,C,916FJ,CNDAIR,CL6002D24,15016,17726.0,13739.0,,,,,,,,,,,,FLASHLIGHT,P4010021,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWD F/A EMERGENCY FLASHLIGHT INOP. MX REPLACED FLASHLIGHT.
DALA1032629853,11/16/2010 0:00:00,11/17/2010 8:42:04,DALA,DALA,A,SO,27.0,A,5321.0,O,,,K,,,,IN,V,762NC,DOUG,DC951,47710,79541.0,80395.0,,,,,,,,,,,,FLOOR PANEL,,,CORRODED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,DURING M-CHECK FOUND MAIN PASSENGER CABIN FLOOR PANEL 37 TOP SKIN CORRODED FWD TO AFT END. LOCATED HOLES AND DRILLED HOLES ON NEW FLOOR PANEL P/N 9957918-20 IAW DC9 SRM 51-10-4.
R61A20100230,2010-02-06 00:00:00,2010-07-06 09:18:19,R61A,R61A,A,GL,11.0,A,2460.0,O,,,A,,,,CL,O,805MD,EMB,ERJ170100SU,17000016,15461.0,11376.0,,,,,,,,,,,,POWER UNIT,1701941B,966,FAULTY,E&E BAY,15454.0,11374.0,15454.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREW RETURNED TO FIELD AT PHL DUE TO LANDING GEAR NOT RETRACTING AFTER TAKEOFF. MAINTENANCE REMOVED AND REPLACED THE LANDING GEAR SELECTOR VALVE AND SPDA DC POWER MODULE PER EMB AMM, AIRCRAFT WAS THEN RETURNED TO SERVICE."
AALA20100617TUL05,6/17/2010 0:00:00,9/15/2010 11:03:58,AALA,AALA,A,SW,21.0,A,5320.0,O,,,K,,,,IN,D,554AA,DOUG,DC982,53084,56529.0,28939.0,,,,,,,,,,,,CUSP WEB,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,820,845,,,,,,,,,,,,L,,,,,2.0,,CRACK AND CORROSION IN LEFT CUSP STATIONS 845 TO 820. REMOVED DAMAGED SECTION AND INSTALLED DOUBLER ON CUSP STATIONS 840 TO 820 LEFT SIDE PER AARD 53-20-00-16.
DALA1033189855,11/13/2010 0:00:00,11/23/2010 9:52:08,DALA,DALA,A,SO,27.0,A,5321.0,O,,,K,,,,IN,V,764NC,DOUG,DC951,47717,77185.0,77042.0,,,,,,,,,,,,FLOOR PANEL,,,CORRODED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"DURING M-CHECK FOUND MAIN PASSENGER CABIN CORROSION ON FLOOR PANEL 36 SEVERAL PLACES. REMOVED CORROSION ON 3 AREAS, CHECK LIMITS, FOUNDED OUT OF LIMITS IAW DC-9 SRM 53-01 FIG 1 SHEET 3. CUTOUT DAMAGED AREAS (3 EA), NDT VERIFY NO CRACKS IAW NDT SPM 06-10-01, ZETEC A2469. FABRICATED REPAIR PARTS USING 7075T-6 .025, IAW DC-9 SRM 53-22-0 FIG 4. TREATED AND PRIMED IAW DC-9 SRM 51-10-3, INSTALLED NEW REPAIR PARTS IAW DC-9 SRM 53-01 FIG 4."
SIMA201115402,2011-01-06 00:00:00,2011-03-06 08:11:47,SIMA,SIMA,A,SW,21.0,A,5347.0,O,,,K,,,,IN,V,603KC,EMB,EMB145LR,145055,31228.0,26013.0,,,,,,,,,,,EMB,SUPPORT,14530637006,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,DURING MAINTENANCE BASE VISIT FOUND THE RIGHT OUTBOARD SEAT TRACK SUPPORT BETWEEN FRAMES 48-52 TO HAVE CORROSION. THE AIRCRAFT WAS REMOVED FROM SERVICE. REMOVED AND REPLACED THE RIGHT OUTBOARD SEAT TRACK SUPPORT IAW SRM 51-40-02. THE AIRCRAFT WAS RETURNED TO SERVICE.
SIMA201032805,11/24/2010 0:00:00,11/24/2010 11:21:54,SIMA,SIMA,A,SW,21.0,A,3350.0,L,,,K,,,,IN,C,632AE,EMB,EMB145LR,145143,20273.0,16869.0,,,,,,,,,,,GE,LIGHT,1317,,INOPERATIVE,COCKPIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DURING MAINTENANCE BASE VISIT FOUND THE COCKPIT OVERHEAD EMERGENCY LIGHT TO BE OUT. THE AIRCRAFT WAS REMOVED FROM SERVICE. REMOVED AND REPLACED THE COCKPIT OVERHEAD EMERGENCY LAMP IAW EMB 145 AMM 33-50-05-000-801-A AND 33-50-05-400-801-A. THE OPERATIONAL CHECK WAS NORMAL. THE AIRCRAFT WAS RETURNED TO SERVICE.
UHLA2010112700255,11/27/2010 0:00:00,2010-03-12 13:39:15,UHLA,UHLA,A,GL,11.0,A,5320.0,O,,,K,,,,IN,V,640RW,EMB,ERJ170100SE,17000058,17312.0,10780.0,,,,,,,,,,,,GUSSET,,,CORRODED,E&E BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"LEVEL 2 CORROSION AFT AVIONICS RACK GUSSET AT FR90. REMOVED AFT AVIONICS RACK GUSSET, FABRICATED NEW PART IAW EMB 170 SRM 51-31-00 AND INSTALLED IAW EMB 170 SRM 51-41-02."
HNAA2011081200246,2011-07-08 00:00:00,8/17/2011 10:11:27,HNAA,HNAA,A,EA,7.0,A,2913.0,J,,,O,,,,NR,O,807EX,DHAV,DHC8102,292,48489.0,53390.0,,,,,,,,,,,VICKERS,PUMP,731840,422776,FAILED,HYD SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NR 2 STANDBY HYD PUMP HOT CAUTION LIGHT ILLUMINATED, FOLLOWED THEN BY STANDBY PUMP CIRCUIT BREAKER POPPED. SWAP OVER TEMP SENSOR TO SPARE. NO FIX. SWAP BACK TO ORIGINAL POSITION. R & R NR2 STANDBY PUMP IAW 29-11-17. LEAKED AND OPS CHECKED GOOD."
MASA2010051600509,5/16/2010 0:00:00,5/17/2010 17:45:00,MASA,MASA,A,SW,7.0,A,3350.0,O,,,K,,,,UK,O,515MJ,CNDAIR,CL6002C10,10117,17139.0,11652.0,,,,,,,,,,,,SIGN,,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT SIDE ROW 8 FLOOR EMERG EXIT SIGN INOP. RELAMPED
ASOA201100112,1/16/2011 0:00:00,1/20/2011 14:52:57,ASOA,ASOA,A,SO,27.0,A,5347.0,O,,,K,,,,IN,V,753EV,CNDAIR,CL6002C10,10169,16635.0,11476.0,,,,,,,,,,,,SEAT TRACK,,,CORRODED,BS 847-969,,,,,,,,,,,,,,,847,696,,,,,,,,,,,,,,,,,,,RT FLOOR SEAT TRACK SEGMENT FROM FS 847.00 TO FS 969.00 IS CORRODED IN SEVERAL PLACES. R & R SEAT TRACK IAW AMM 53-00-49 & SRM 51-40-11.
MASA2010122701549,12/24/2010 0:00:00,12/27/2010 15:38:32,MASA,MASA,A,SW,7.0,A,3242.0,O,,,K,,,,LD,O,509MJ,CNDAIR,CL6002C10,10094,19760.0,13436.0,,,,,,,,,,,,BRAKE ASSY,50136421,JAN061282,OVERHEATED,MLG,3269.0,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NR 2 BRAKE EICAS BTMS SHOWS 9. MX REPLACED BRAKE ASSY, OPS AND TAXI TEST GOOD."
MASA2011012001734,1/19/2011 0:00:00,1/20/2011 19:22:56,MASA,MASA,A,SW,7.0,A,5270.0,N,,,K,,,,IN,O,916FJ,CNDAIR,CL6002D24,15016,18162.0,14133.0,,,,,,,,,,,,SENSOR,,,DIRTY,EMERGENCY EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT FWD EMERGENCY DOOR CTN INTERMITTENT. MX CLEANED SENSOR PX43.
SWIA201126095,4/24/2011 0:00:00,4/27/2011 14:17:12,SWIA,SWIA,A,NM,6.0,A,3350.0,O,,,K,,,,UK,O,776SK,CNDAIR,CL6002C10,10241,16186.0,9974.0,,,,,,,,,,,,LIGHT,,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR 3 OVERHEAD EMERGENCY LIGHT IS OUT. (FLT 6663 )RELAMPED EMERGENCY LIGHT.
C2XA11SH043,2/14/2011 0:00:00,2/14/2011 20:55:18,C2XA,C2XA,A,SW,27.0,A,5320.0,O,,,K,,,,IN,V,12900,EMB,EMB145LR,145511,22735.0,17220.0,,,,,,,,,,,EMB,SILL,14522178605,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHV - DURING C-CHECK SERVICE DOOR CENTER SILL CORRODED. REPLACED REPLACED SERVICE DOOR CENTER SILL IAW EMB 145 SRM 51-40-02. AIRCRAFT WAS APPROVED FOR RETURN TO SERVICE.
R61A20110035,2/14/2011 0:00:00,2/15/2011 12:20:43,R61A,R61A,A,GL,11.0,A,2150.0,B,,,D,,,,UK,O,109HQ,EMB,ERJ170200LR,17000168,10116.0,8064.0,,,,,,,,,,,,A/C PACK,,,MALFUNCTIONED,NR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREW REPORTED PACK 2 FAIL WHILE ON THE GROUND ALONG WITH BURNING SMELL IN THE COCKPIT AND CABIN AFTER PUSHBACK. EMERGENCY VEHICLES DID RESPOND, AND REPORTED NO ABNORMALITIES WERE NOTED OUTSIDE OF THE AIRCRAFT. MAINTENANCE TROUBLESHOT PER EMB AMM AND PLACED PACK 2 ON MEL 21-51-00-1."
JR2R2011021600020,2/16/2011 0:00:00,2/16/2011 12:42:45,MASA,JR2R,B,SW,15.0,A,5313.0,O,,,K,,,,IN,V,902FJ,CNDAIR,CL6002D24,15002,19654.0,15248.0,,,,,,,,,,,BOMBDR,STRINGER,SH670316321,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,280,295,19.0,R,,R,,,,,,,,,,,,,2.0,,FWD E/E BAY STR 19 R HAS CORROSION BETWEEN FRAMES FS 295 AND 280. REMOVED AND REPLACED STR 19R STA 280-295 IAW CRJ 900 SRM 51-42-06 AND 51-42-21.
CA100608017,2010-04-06 00:00:00,2011-04-01 11:00:18,,,W,CA,,A,3320.0,B,,,K,,,,IN,9,,CNDAIR,CL600*,,14156.0,,GE,CF348C5,,,,,,,,,,BALLAST,BR9500106,,BURNED,CABIN LIGHTS,15328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AT THE GATE AFTER THE ACFT WAS BOARDED AND BEFORE DEPARTURE, THERE WAS A BURNING ODOR IN THE MID CABIN AREA. THE ODOR MOVED FWD TO THE COCKPIT. THE CREW CARRIED OUT A RAPID DEPLANEMENT. CONTRACTED MX, DETERMINED THAT THE ODOR HAD COME FROM A CABIN LIGHT BALLAST AT ROW 17AC. SIDEWALL LIGHT BALLAST PS101 WAS FOUND AT FAULT. THE BALLAST WAS REMOVED AND THE SIDEWALL LIGHTS DEFERRED IAW MEL 33-21-01."
MASA2011030102043,2/27/2011 0:00:00,2011-01-03 14:52:30,MASA,MASA,A,SW,7.0,A,3350.0,L,,,K,,,,IN,C,920FJ,CNDAIR,CL6002D24,15020,17793.0,14111.0,,,,,,,,,,,,LIGHT,,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT OH EMERGENCY LIGHT OUT. MX REPLAMPED.
CA100614004,2010-11-06 00:00:00,2011-04-01 11:00:18,,,W,CA,,A,3130.0,O,,,K,,,,IN,9,,DHAV,DHC8102,,51491.0,,PWA,PW120A,,,,HAMSTD,14SF7,,,,,RECORDER,2100404300,,MALFUNCTIONED,FLT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FDR WAS REMOVED FROM THE ACFT TO INVESTIGATE AN UNCOMMANDED TORQUE INCREASE, AND AT THAT TIME IT WAS DETERMINED THAT THE FDR HAD BEEN UNSERVICEABLE FOR 111 HRS WITHOUT TURNING ON THE FDR FAIL LIGHT. LIGHT WAS DETERMINED TO BE SEVICEABLE. THE MOST RECENT DATA FOUND ON THE RECORDER WAS FROM ACFT 303 JAN 25, 2010. THE FDR WAS ON ACFT 855 FROM MAY 11 TO MAY 29 APPARENTLY UNSERVICEABLE THE ENTIRE TIME WITHOUT TURNING ON THE FDR FAIL CAUTION LIGHT."
CHQA201100048,2011-04-03 00:00:00,2011-07-03 12:42:54,CHQA,CHQA,A,GL,11.0,A,3610.0,J,,,A,,,,CL,O,267SK,EMB,EMB145LR,145268,27150.0,21724.0,ALLSN,AE3007A,CAE312734,14096.0,12124.0,,,,,,EATON,SWITCH,4800104,,INTERMITTENT,BLEED AIR SYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLIGHT CREW REPORTED A BLEED 1 VALVE CLOSED MESSAGE SHORTLY AFTER TAKEOFF AND RETURNED TO LGA AND LANDED WITHOUT INCIDENT. MAINTENANCE REPLACED THE NR 1 BLEED PUSH BUTTON AND THE E1 FAN AIR VALVE FILTER AS A PRECAUTION, WITH NO FURTHER DEFECTS BEING NOTED DURING ENGINE RUNS AND OPS CHECKS."
AALA20110315TUL04,3/15/2011 0:00:00,3/16/2011 16:01:16,AALA,AALA,A,SW,21.0,A,5320.0,O,,,K,,,,IN,V,454AA,DOUG,DC982,49559,65995.0,34681.0,,,,,,,,,,,,CUSP WEB,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,1250,1309,,,,,,,,,,,,,,,,,,,LEFT CUSP CORROSION OUT OF LIMITS FROM STATIONS 1250 TO 1309. REMOVED AND REPLACED CUSP SHEET PER AARD 51-10-00-5.
MASA2011031102124,2011-08-03 00:00:00,2011-11-03 12:08:25,MASA,MASA,A,SW,7.0,A,5210.0,O,,,K,,,,IN,V,935LR,CNDAIR,CL6002D24,15035,14969.0,12124.0,,,,,,,,,,,,PLATE,,,BENT,DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO PLATE ON STOW STEP BENT. MX DEFERRED.
DALA1115539878,2011-06-03 00:00:00,2011-07-03 15:58:50,DALA,DALA,A,SO,27.0,A,5322.0,O,,,K,,,,IN,9,787NC,DOUG,DC951,48149,67736.0,61525.0,,,,,,,,,,,DOUG,SHEAR TIE,,,CRACKED,STA 1151 L14L,,,,,,,,,,,,,,,1151,,14.0,L,,,,,,,,,,,,,,,,,"CRACKED SHEAR TIE, STA 1151, L14L. REMOVED CRACKED SHEAR-TIE IAW SRM 51-30-02. RECIEVED NEW SHEAR-TIE. INSTALLED IAW SRM 51-30-05. REQUIRED INSP COMPLETED."
